Gender,Social Connectivity,Probability,Low,High
Female,Connected,0.01093356,0.010706411,0.011165473
Female,Not connected,0.008047437,0.007931005,0.008165565
Male,Connected,0.01160344,0.011413456,0.011796548
Male,Not connected,0.01010413,0.009979081,0.01023073
