Country,Gender,Job Seniority,Age Range,Recent Status,Social Connectivity,Count
UK,Female,Senior,18 to 24,Not promoted,Not connected,13060
UK,Female,Entry,55+,Not promoted,Connected to big companies,710
UK,Female,Entry,55+,Not promoted,Not connected,3570
UK,Female,Entry,35 to 54,Not promoted,Connected to big companies,7710
UK,Female,Entry,35 to 54,Not promoted,Not connected,32190
UK,Female,Entry,25 to 34,Not promoted,Connected to big companies,10160
UK,Female,Entry,25 to 34,Not promoted,Not connected,94140
UK,Female,Entry,18 to 24,Not promoted,Connected to big companies,1900
UK,Female,Entry,18 to 24,Not promoted,Not connected,24410
US,Male,Director,55+,Not promoted,Connected to big companies,35000
US,Male,Director,55+,Not promoted,Not connected,34000
US,Male,Director,35 to 54,Recently promoted,Connected to big companies,5000
US,Male,Director,35 to 54,Recently promoted,Not connected,1600
US,Male,Director,35 to 54,Not promoted,Connected to big companies,155000
US,Male,Director,35 to 54,Not promoted,Not connected,117440
US,Male,Director,25 to 34,Recently promoted,Connected to big companies,2300
US,Male,Director,25 to 34,Recently promoted,Not connected,1300
US,Male,Director,25 to 34,Not promoted,Connected to big companies,32700
US,Male,Director,25 to 34,Not promoted,Not connected,63700
US,Male,Director,18 to 24,Recently promoted,Connected to big companies,340
US,Male,Director,18 to 24,Recently promoted,Not connected,290
US,Male,Director,18 to 24,Not promoted,Connected to big companies,4760
US,Male,Director,18 to 24,Not promoted,Not connected,10610
US,Male,Manager,55+,Recently promoted,Not connected,800
US,Male,Manager,55+,Not promoted,Connected to big companies,21000
US,Male,Manager,55+,Not promoted,Not connected,34200
US,Male,Manager,35 to 54,Recently promoted,Connected to big companies,4700
US,Male,Manager,35 to 54,Recently promoted,Not connected,2000
US,Male,Manager,35 to 54,Not promoted,Connected to big companies,125300
US,Male,Manager,35 to 54,Not promoted,Not connected,157160
US,Male,Manager,25 to 34,Recently promoted,Connected to big companies,3900
US,Male,Manager,25 to 34,Recently promoted,Not connected,2200
