Country,Gender,Job Seniority,Age Range,Recent Status,Social Connectivity,Count
US,Male,Director,18 to 24,Not relocated,Connected to big companies,4760
US,Male,Director,18 to 24,Not relocated,Not connected,10610
US,Male,Manager,55+,Not relocated,Connected to big companies,21000
US,Male,Manager,55+,Not relocated,Not connected,34200
US,Male,Manager,35 to 54,Recently relocated,Not connected,840
US,Male,Manager,35 to 54,Not relocated,Connected to big companies,125300
US,Male,Manager,35 to 54,Not relocated,Not connected,157160
US,Male,Manager,25 to 34,Recently relocated,Not connected,740
US,Male,Manager,25 to 34,Not relocated,Connected to big companies,47100
US,Male,Manager,25 to 34,Not relocated,Not connected,166060
US,Male,Manager,18 to 24,Not relocated,Connected to big companies,5550
US,Male,Manager,18 to 24,Not relocated,Not connected,26250
US,Male,Senior,55+,Not relocated,Connected to big companies,64000
US,Male,Senior,55+,Not relocated,Not connected,105210
US,Male,Senior,35 to 54,Recently relocated,Connected to big companies,1800
US,Male,Senior,35 to 54,Recently relocated,Not connected,1000
US,Male,Senior,35 to 54,Not relocated,Connected to big companies,363200
US,Male,Senior,35 to 54,Not relocated,Not connected,516000
US,Male,Senior,25 to 34,Recently relocated,Connected to big companies,1900
US,Male,Senior,25 to 34,Recently relocated,Not connected,1300
US,Male,Senior,25 to 34,Not relocated,Connected to big companies,209300
US,Male,Senior,25 to 34,Not relocated,Not connected,532500
US,Male,Senior,18 to 24,Recently relocated,Not connected,750
US,Male,Senior,18 to 24,Not relocated,Connected to big companies,26000
US,Male,Senior,18 to 24,Not relocated,Not connected,89050
US,Male,Entry,55+,Not relocated,Connected to big companies,21000
US,Male,Entry,55+,Not relocated,Not connected,77000
US,Male,Entry,35 to 54,Recently relocated,Not connected,1400
US,Male,Entry,35 to 54,Not relocated,Connected to big companies,140000
US,Male,Entry,35 to 54,Not relocated,Not connected,458600
US,Male,Entry,25 to 34,Recently relocated,Connected to big companies,1700
US,Male,Entry,25 to 34,Recently relocated,Not connected,1700
US,Male,Entry,25 to 34,Not relocated,Connected to big companies,177670
US,Male,Entry,25 to 34,Not relocated,Not connected,917830
US,Male,Entry,18 to 24,Recently relocated,Not connected,1400
US,Male,Entry,18 to 24,Not relocated,Connected to big companies,42380
US,Male,Entry,18 to 24,Not relocated,Not connected,234820
UK,Male,Director,55+,Recently relocated,Not connected,3100
